38,34,78,120,128,160
46,214,268,323,331,388
49,26,56,122,132,157
49,39,66,116,125,155
50,84,123,184,194,222
52,26,74,138,148,179
56,23,60,105,116,142
57,22,76,163,174,206
57,52,104,144,153,200
59,36,75,142,151,182
59,57,86,141,150,180
60,89,120,187,198,234
64,40,65,115,125,153
70,35,52,99,106,130
72,51,83,126,134,165
74,60,96,142,151,181
76,22,53,125,135,166
76,23,65,107,117,150
77,75,110,165,175,218
79,53,115,195,206,249
82,28,185,235,244,272
83,23,85,129,138,167
83,20,110,149,158,185
86,49,105,165,176,210
88,55,90,145,153,183
89,59,90,136,145,173
91,18,61,104,113,142
91,70,101,147,156,197
92,194,268,322,332,360
95,42,94,163,172,205
96,33,72,133,141,168
97,58,154,221,234,270
97,36,84,140,150,181
98,60,100,178,187,219
98,49,114,190,198,235
99,75,106,164,173,206
100,46,74,112,120,157
104,76,105,149,157,186
105,48,97,194,202,289
108,42,74,134,144,175
110,51,76,129,136,169
111,44,117,164,174,201
113,24,55,116,124,151
115,34,73,130,138,163
116,62,92,144,152,181
117,38,68,116,125,151
118,47,74,141,151,177
123,39,80,150,159,198
124,27,69,114,122,150
125,72,106,148,156,185
127,37,97,235,245,278
128,42,89,151,160,188
129,89,148,224,233,265
130,30,65,139,146,181
132,27,76,135,144,174
133,90,148,185,193,220
134,40,87,139,148,180
135,31,85,129,138,172
137,31,58,111,119,148
138,42,80,145,154,187
139,44,88,146,155,185
140,20,46,96,106,141
141,55,104,157,166,197
142,50,87,150,157,185
