38,34,78,120,128,160
49,39,66,116,125,155
49,26,56,122,132,157
56,23,60,105,116,142
57,52,104,144,153,200
59,36,75,142,151,182
64,40,65,115,125,153
70,35,52,99,106,130
74,60,96,142,151,181
76,22,53,125,135,166
76,23,65,107,117,150
86,49,105,165,176,210
91,18,61,104,113,142
91,70,101,147,156,197
96,33,72,133,141,168
97,58,154,221,234,270
97,36,84,140,150,181
104,76,105,149,157,186
108,42,74,134,144,175
110,51,76,129,136,169
117,38,68,116,125,151
118,47,74,141,151,177
123,39,80,150,159,198
124,27,69,114,122,150
130,30,65,139,146,181
132,27,76,135,144,174
133,90,148,185,193,220
135,31,85,129,138,172
137,31,58,111,119,148
139,44,88,146,155,185
140,20,46,96,106,141
142,50,87,150,157,185
