[SUBJECTNAME]=sn103											
[AGE]=											
[FIELD1]=nao talking											
[FIELD2]=											
[FIELD3]=											
[FIELD4]=											
[FIELD5]=											
[FIELD6]=											
[CODER]=											
[VIDEOFILE]=E:\ASD_Dataset_DU\2nd_Protocold_Experiments\feng\Video 29.avi											
[RESOLUTION]=30.0008											
[STARTCODES]											
1	0	NC									
2	0.0333	NC									
3	0.0667	NC									
4	0.1	NC									
5	0.1333	NC									
6	0.1667	NC									
7	0.2	NC									
8	0.2333	NC									
9	0.2667	NC									
10	0.3	NC									
11	0.3333	NC									
12	0.3667	NC									
13	0.4	NC									
14	0.4333	NC									
15	0.4666	NC									
16	0.5	NC									
17	0.5333	NC									
18	0.5666	NC									
19	0.6	NC									
20	0.6333	NC									
21	0.6666	NC									
22	0.7	NC									
23	0.7333	NC									
24	0.7666	NC									
25	0.8	NC									
26	0.8333	NC									
27	0.8666	NC									
28	0.9	NC									
29	0.9333	NC									
30	0.9666	NC									
31	1	NC									
32	1.0333	NC									
33	1.0666	NC									
34	1.1	NC									
35	1.1333	NC									
36	1.1666	NC									
37	1.2	NC									
38	1.2333	NC									
39	1.2666	NC									
40	1.2999	NC									
41	1.3333	NC									
42	1.3666	NC									
43	1.3999	NC									
44	1.4333	NC									
45	1.4666	NC									
46	1.4999	NC									
47	1.5333	NC									
48	1.5666	NC									
49	1.5999	NC									
50	1.6333	NC									
51	1.6666	NC									
52	1.6999	NC									
53	1.7333	NC									
54	1.7666	NC									
55	1.7999	NC									
56	1.8333	NC									
57	1.8666	NC									
58	1.8999	NC									
59	1.9333	NC									
60	1.9666	NC									
61	1.9999	NC									
62	2.0333	NC									
63	2.0666	NC									
64	2.0999	NC									
65	2.1333	NC									
66	2.1666	NC									
67	2.1999	NC									
68	2.2332	NC									
69	2.2666	NC									
70	2.2999	NC									
71	2.3332	NC									
72	2.3666	NC									
73	2.3999	NC									
74	2.4332	NC									
75	2.4666	NC									
76	2.4999	NC									
77	2.5332	NC									
78	2.5666	NC									
79	2.5999	NC									
80	2.6332	NC									
81	2.6666	NC									
82	2.6999	NC									
83	2.7332	NC									
84	2.7666	NC									
85	2.7999	NC									
86	2.8332	NC									
87	2.8666	NC									
88	2.8999	NC									
89	2.9332	NC									
90	2.9666	NC									
91	2.9999	NC									
92	3.0332	NC									
93	3.0665	NC									
94	3.0999	NC									
95	3.1332	NC									
96	3.1665	NC									
97	3.1999	NC									
98	3.2332	NC									
99	3.2665	NC									
100	3.2999	NC									
101	3.3332	NC									
102	3.3665	NC									
103	3.3999	NC									
104	3.4332	NC									
105	3.4665	NC									
106	3.4999	NC									
107	3.5332	NC									
108	3.5665	NC									
109	3.5999	NC									
110	3.6332	NC									
111	3.6665	NC									
112	3.6999	NC									
113	3.7332	NC									
114	3.7665	NC									
115	3.7999	NC									
116	3.8332	NC									
117	3.8665	NC									
118	3.8998	NC									
119	3.9332	NC									
120	3.9665	NC									
121	3.9998	NC									
122	4.0332	NC									
123	4.0665	NC									
124	4.0998	NC									
125	4.1332	NC									
126	4.1665	NC									
127	4.1998	NC									
128	4.2332	NC									
129	4.2665	NC									
130	4.2998	NC									
131	4.3332	NC									
132	4.3665	NC									
133	4.3998	NC									
