45:26.0,0.01,-0.84,0.79,-1,24.9,0.121,0
45:26.0,0.03,-0.86,0.81,-1,24.9,0.124,0
45:26.1,0,-0.8,0.76,-1,24.9,0.122,0
45:26.1,0,-0.89,0.69,-1,24.9,0.124,0
45:26.1,0,-0.88,0.66,-1,24.9,0.122,0
45:26.2,0.02,-0.89,0.65,-1,24.9,0.122,0
45:26.2,0.02,-0.87,0.66,-1,24.9,0.122,0
45:26.2,0.03,-0.84,0.68,-1,24.9,0.122,0
45:26.3,0.05,-0.86,0.68,-1,24.9,0.122,0
45:26.3,0.06,-0.85,0.68,-1,24.9,0.122,0
45:26.3,0.05,-0.82,0.7,-1,24.9,0.122,0
45:26.3,0.04,-0.78,0.72,-1,24.9,0.122,0
45:26.4,0.03,-0.77,0.73,-1,24.9,0.122,0
45:26.4,0,-0.84,0.75,-1,24.9,0.122,0
45:26.4,0,-0.9,0.81,-1,24.9,0.122,0
45:26.5,0,-0.82,0.76,-1,24.9,0.122,0
45:26.5,0,-0.83,0.76,-1,24.9,0.122,0
45:26.5,0,-0.85,0.77,-1,24.9,0.125,0
45:26.6,0.01,-0.86,0.77,-1,24.9,0.122,0
45:26.6,0.01,-0.85,0.74,-1,24.9,0.122,0
45:26.6,0.02,-0.84,0.7,-1,24.9,0.122,0
45:26.7,0.02,-0.86,0.69,-1,24.9,0.122,0
45:26.7,0.02,-0.87,0.7,-1,24.9,0.122,0
45:26.7,0.02,-0.82,0.67,-1,24.9,0.122,0
45:26.8,0.02,-0.85,0.71,-1,24.9,0.122,0
45:26.8,0,-0.82,0.76,-1,24.9,0.122,0
45:26.8,0,-0.82,0.76,-1,24.9,0.122,0
45:26.8,0,-0.83,0.77,-1,24.9,0.122,0
45:26.9,0,-0.81,0.79,-1,24.9,0.125,0
45:26.9,0,-0.81,0.78,-1,24.9,0.125,0
45:26.9,0,-0.81,0.78,-1,24.9,0.122,0
45:27.0,0,-0.83,0.77,-1,24.9,0.122,0
45:27.0,0,-0.83,0.76,-1,24.9,0.122,0
45:27.0,0,-0.84,0.76,-1,24.9,0.122,0
45:27.1,0.01,-0.83,0.76,-1,24.9,0.122,0
45:27.1,0.01,-0.84,0.75,-1,24.9,0.122,0
45:27.1,0,-0.82,0.75,-1,24.9,0.122,0
