0.37,-0.29,-0.63,-1,24.3,0.884,0
0.36,-0.29,-0.64,-1,24.1,0.885,0
0.38,-0.26,-0.63,-1,24.1,0.887,0
0.38,-0.24,-0.62,-1,24.1,0.885,0
0.38,-0.2,-0.62,-1,24.1,0.89,0
0.4,-0.21,-0.59,-1,24.3,0.887,0
0.41,-0.19,-0.61,-1,24.1,0.887,0
0.37,-0.25,-0.58,-1,24.1,0.887,0
0.37,-0.23,-0.61,-1,24.1,0.882,0
0.37,-0.24,-0.65,-1,24.1,0.882,0
0.39,-0.25,-0.65,-1,24.1,0.887,0
0.3,-0.31,-0.62,-1,24.1,0.882,0
0.37,-0.27,-0.64,-1,24.1,0.887,0
0.37,-0.29,-0.63,-1,24.1,0.882,0
0.38,-0.25,-0.63,-1,24.1,0.882,0
0.38,-0.24,-0.64,-1,24.1,0.882,0
0.37,-0.2,-0.64,-1,24.1,0.882,0
0.35,-0.21,-0.64,-1,24.1,0.882,0
0.36,-0.19,-0.66,-1,24.3,0.882,0
0.35,-0.2,-0.67,-1,24.1,0.882,0
0.36,-0.19,-0.66,-1,24.1,0.882,0
0.36,-0.21,-0.64,-1,24.1,0.882,0
0.37,-0.21,-0.64,-1,24.1,0.882,0
0.36,-0.18,-0.64,-1,24.1,0.882,0
0.33,-0.18,-0.63,-1,24.1,0.882,0
0.3,-0.17,-0.65,-1,24.1,0.882,0
0.28,-0.22,-0.6,-1,24.1,0.882,0
0.25,-0.26,-0.57,-1,24.3,0.887,0
0.23,-0.29,-0.59,-1,24.1,0.882,0
0.21,-0.28,-0.51,-1,24.1,0.882,0
0.16,-0.28,-0.52,-1,24.1,0.882,0
0.13,-0.26,-0.53,-1,24.1,0.882,0
0.18,-0.32,-0.47,-1,24.1,0.882,0
0.28,-0.33,-0.48,-1,24.1,0.882,0
0.08,-0.19,-0.8,-1,24.1,0.882,0
-0.09,-0.13,-0.83,-1,24.1,0.882,0
-0.17,-0.25,-0.81,-1,24.3,0.882,0
-0.28,-0.26,-0.82,-1,24.1,0.882,0
-0.39,-0.33,-0.8,-1,24.1,0.887,0
-0.4,-0.35,-0.74,-1,24.3,0.882,0
-0.44,-0.38,-0.69,-1,24.1,0.882,0
-0.49,-0.41,-0.67,-1,24.1,0.882,0
-0.5,-0.45,-0.59,-1,24.1,0.882,0
-0.53,-0.46,-0.53,-1,24.1,0.882,0
-0.58,-0.4,-0.57,-1,24.1,0.882,0
-0.59,-0.39,-0.55,-1,24.1,0.887,0
-0.59,-0.4,-0.52,-1,24.1,0.882,0
-0.61,-0.36,-0.51,-1,24.3,0.879,0
-0.66,-0.34,-0.59,-1,24.1,0.885,0
-0.71,-0.44,-0.73,-1,24.1,0.882,0
-0.57,-0.43,-0.49,-1,24.3,0.882,0
-0.61,-0.37,-0.43,-1,24.1,0.879,0
-0.62,-0.33,-0.42,-1,24.1,0.879,0
-0.62,-0.33,-0.41,-1,24.3,0.882,0
-0.64,-0.32,-0.5,-1,24.1,0.882,0
-0.63,-0.32,-0.56,-1,24.1,0.882,0
-0.6,-0.4,-0.47,-1,24.1,0.882,0
-0.6,-0.42,-0.45,-1,24.1,0.882,0
-0.61,-0.42,-0.44,-1,24.1,0.879,0
-0.63,-0.39,-0.44,-1,24.3,0.879,0
-0.62,-0.37,-0.49,-1,24.1,0.879,0
-0.64,-0.33,-0.51,-1,24.3,0.879,0
-0.65,-0.32,-0.47,-1,24.1,0.879,0
-0.65,-0.33,-0.49,-1,24.1,0.882,0
-0.65,-0.33,-0.45,-1,24.1,0.887,0
-0.66,-0.38,-0.43,-1,24.3,0.882,0
-0.66,-0.39,-0.45,-1,24.3,0.882,0
-0.66,-0.42,-0.44,-1,24.3,0.882,0
-0.65,-0.39,-0.46,-1,24.3,0.882,0
-0.64,-0.39,-0.43,-1,24.3,0.879,0
-0.64,-0.36,-0.45,-1,24.3,0.882,0
-0.63,-0.36,-0.47,-1,24.3,0.882,0
-0.62,-0.4,-0.46,-1,24.1,0.879,0
-0.61,-0.44,-0.46,-1,24.1,0.879,0
-0.62,-0.44,-0.46,-1,24.1,0.879,0
-0.63,-0.44,-0.44,-1,24.1,0.879,0
-0.66,-0.41,-0.46,-1,24.3,0.879,0
-0.66,-0.39,-0.45,-1,24.3,0.879,0
-0.63,-0.39,-0.43,-1,24.1,0.882,0
-0.61,-0.43,-0.43,-1,24.3,0.879,0
-0.62,-0.45,-0.45,-1,24.3,0.879,0
-0.62,-0.42,-0.47,-1,24.3,0.882,0
-0.61,-0.4,-0.47,-1,24.3,0.879,0
-0.6,-0.41,-0.47,-1,24.3,0.879,0
-0.6,-0.41,-0.46,-1,24.3,0.879,0
-0.59,-0.44,-0.46,-1,24.3,0.882,0
-0.58,-0.39,-0.49,-1,24.3,0.879,0
-0.58,-0.36,-0.5,-1,24.3,0.882,0
-0.59,-0.32,-0.5,-1,24.3,0.879,0
-0.61,-0.3,-0.49,-1,24.3,0.879,0
-0.63,-0.34,-0.49,-1,24.3,0.879,0
-0.62,-0.4,-0.47,-1,24.3,0.879,0
-0.61,-0.45,-0.47,-1,24.3,0.882,0
-0.62,-0.43,-0.48,-1,24.3,0.879,0
-0.62,-0.38,-0.48,-1,24.1,0.882,0
-0.63,-0.36,-0.49,-1,24.3,0.882,0
-0.63,-0.33,-0.5,-1,24.3,0.879,0
-0.62,-0.32,-0.5,-1,24.3,0.879,0
-0.62,-0.33,-0.5,-1,24.3,0.879,0
-0.62,-0.34,-0.49,-1,24.1,0.879,0
-0.62,-0.38,-0.48,-1,24.3,0.879,0
-0.62,-0.39,-0.46,-1,24.3,0.879,0
-0.6,-0.39,-0.48,-1,24.3,0.879,0
-0.59,-0.35,-0.5,-1,24.1,0.882,0
-0.57,-0.36,-0.5,-1,24.3,0.876,0
-0.56,-0.36,-0.52,-1,24.3,0.876,0
-0.57,-0.37,-0.52,-1,24.3,0.876,0
-0.58,-0.35,-0.5,-1,24.3,0.876,0
-0.59,-0.33,-0.5,-1,24.3,0.876,0
-0.59,-0.33,-0.5,-1,24.3,0.876,0
-0.58,-0.35,-0.5,-1,24.1,0.876,0
-0.58,-0.37,-0.51,-1,24.1,0.876,0
-0.58,-0.37,-0.51,-1,24.3,0.876,0
