02:48.0,0.24,1.02,0.96,-1,25.1,0.312,0
02:48.0,0.41,1.01,0.9,-1,24.9,0.311,0
02:48.1,0.34,0.94,0.74,-1,24.9,0.312,0
02:48.1,0.28,0.87,0.77,-1,24.9,0.312,0
02:48.1,0.17,0.88,0.67,-1,24.9,0.313,0
02:48.2,0.12,0.92,1.04,-1,24.9,0.31,0
02:48.2,0.24,0.82,0.96,-1,24.9,0.31,0
02:48.2,0.19,0.94,0.8,-1,24.9,0.313,0
02:48.3,0.17,0.62,0.83,-1,24.9,0.313,0
02:48.3,0.15,0.46,1.01,-1,24.9,0.313,0
02:48.3,0.12,0.61,0.95,-1,24.9,0.315,0
02:48.3,0.23,0.66,1.04,-1,24.9,0.315,0
02:48.4,0.29,0.8,0.98,-1,24.9,0.318,0
02:48.4,0.2,0.51,1.06,-1,24.9,0.318,0
02:48.4,0.16,0.69,0.93,-1,24.9,0.32,0
02:48.5,0.12,0.64,0.9,-1,24.9,0.32,0
02:48.5,0.11,0.62,0.91,-1,24.9,0.323,0
02:48.5,0.07,0.68,1.01,-1,24.9,0.32,0
02:48.6,0.1,0.66,1.03,-1,24.9,0.323,0
02:48.6,0.17,0.64,1,-1,24.9,0.323,0
02:48.6,0.16,0.54,0.99,-1,24.9,0.325,0
02:48.7,0.17,0.5,0.96,-1,24.9,0.325,0
02:48.7,0.19,0.6,1,-1,24.9,0.325,0
02:48.7,0.15,0.69,1.02,-1,24.9,0.325,0
02:48.8,0.11,0.64,1.08,-1,24.9,0.325,0
02:48.8,0.05,0.58,1.11,-1,24.9,0.328,0
02:48.8,0.1,0.59,1,-1,24.9,0.328,0
02:48.8,0.17,0.55,1.01,-1,24.9,0.328,0
02:48.9,0.16,0.57,1.04,-1,24.9,0.328,0
02:48.9,0.12,0.52,1,-1,24.9,0.328,0
02:48.9,0.12,0.51,1.01,-1,25.1,0.328,0
02:49.0,0.14,0.54,1.07,-1,24.9,0.328,0
02:49.0,0.15,0.55,1.14,-1,24.9,0.33,0
02:49.0,0.1,0.43,1.14,-1,24.9,0.333,0
02:49.1,0.05,0.43,1.09,-1,24.9,0.333,0
02:49.1,0.04,0.36,1.08,-1,24.9,0.333,0
02:49.1,0.09,0.4,1.19,-1,24.9,0.338,0
02:49.2,0.14,0.49,1.07,-1,24.9,0.338,0
02:49.2,0.15,0.34,1.07,-1,24.9,0.338,0
02:49.2,0.17,0.32,1.05,-1,25.1,0.343,0
02:49.3,0.18,0.41,1.07,-1,24.9,0.343,0
02:49.3,0.14,0.61,1.33,-1,24.9,0.343,0
02:49.3,0.11,0.45,1.19,-1,24.9,0.346,0
02:49.3,0.09,0.33,1.26,-1,25.1,0.348,0
02:49.4,0.06,0.47,1.22,-1,24.9,0.353,0
02:49.4,0.07,0.48,1.08,-1,24.9,0.356,0
02:49.4,0.08,0.36,1.12,-1,24.9,0.359,0
02:49.5,0.09,0.44,1.08,-1,24.9,0.359,0
02:49.5,0.04,0.63,1.09,-1,24.9,0.359,0
02:49.5,0.02,0.56,1.05,-1,24.9,0.359,0
02:49.6,0,0.48,1.07,-1,24.9,0.362,0
02:49.6,0,0.53,1.09,-1,25.1,0.359,0
02:49.6,0.02,0.53,1.04,-1,24.9,0.364,0
02:49.7,0.06,0.53,1.07,-1,24.9,0.364,0
02:49.7,0.09,0.5,1.03,-1,24.9,0.364,0
02:49.7,0.1,0.49,1.06,-1,24.9,0.364,0
02:49.7,0.08,0.53,1.05,-1,24.9,0.366,0
02:49.8,0.08,0.52,1.09,-1,24.9,0.369,0
02:49.8,0.08,0.54,1.08,-1,25.1,0.369,0
02:49.8,0.08,0.55,1.06,-1,24.9,0.369,0
02:49.9,0.06,0.53,1.11,-1,24.9,0.372,0
02:49.9,0.06,0.55,1.09,-1,25.1,0.371,0
02:49.9,0.1,0.57,1.11,-1,24.9,0.375,0
02:50.0,0.11,0.74,1.13,-1,24.9,0.375,0
02:50.0,0.09,0.48,1.11,-1,24.9,0.375,0
02:50.0,0.1,0.51,1.04,-1,25.1,0.377,0
02:50.1,0.08,0.54,1.03,-1,24.9,0.375,0
02:50.1,0.09,0.57,1.02,-1,24.9,0.377,0
02:50.1,0.1,0.56,1.04,-1,24.9,0.377,0
02:50.2,0.12,0.54,1.05,-1,24.9,0.377,0
02:50.2,0.15,0.57,1.01,-1,25.1,0.377,0
02:50.2,0.15,0.55,1.02,-1,24.9,0.38,0
02:50.2,0.12,0.55,1,-1,25.1,0.377,0
02:50.3,0.09,0.57,1.03,-1,24.9,0.38,0
02:50.3,0.1,0.57,1.05,-1,25.1,0.38,0
02:50.3,0.1,0.63,1.06,-1,24.9,0.38,0
02:50.4,0.09,0.58,1.06,-1,24.9,0.38,0
02:50.4,0.1,0.58,1,-1,24.9,0.38,0
02:50.4,0.12,0.62,1.04,-1,24.9,0.38,0
