29:26.0,0.34,-0.76,0.73,-1,24.3,0.009,0
29:26.0,0.33,-0.74,0.73,-1,23.9,0.009,0
29:26.1,0.32,-0.75,0.77,-1,23.9,0.011,0
29:26.1,0.33,-0.75,0.75,-1,23.9,0.011,0
29:26.1,0.32,-0.71,0.76,-1,24.1,0.009,0
29:26.2,0.33,-0.72,0.77,-1,24.1,0.009,0
29:26.2,0.35,-0.74,0.77,-1,24.1,0.009,0
29:26.2,0.33,-0.73,0.78,-1,24.1,0.009,0
29:26.2,0.33,-0.71,0.8,-1,23.9,0.011,0
29:26.3,0.35,-0.71,0.79,-1,24.1,0.009,0
29:26.3,0.34,-0.71,0.79,-1,24.1,0.009,0
29:26.3,0.34,-0.72,0.81,-1,24.1,0.011,0
29:26.4,0.34,-0.7,0.8,-1,24.1,0.009,0
29:26.4,0.35,-0.73,0.81,-1,24.1,0.009,0
29:26.4,0.34,-0.68,0.81,-1,23.9,0.009,0
29:26.5,0.34,-0.66,0.8,-1,24.1,0.009,0
29:26.5,0.35,-0.68,0.82,-1,24.1,0.009,0
29:26.5,0.32,-0.66,0.84,-1,24.1,0.011,0
29:26.6,0.33,-0.65,0.83,-1,24.1,0.011,0
29:26.6,0.32,-0.66,0.84,-1,24.1,0.011,0
29:26.6,0.33,-0.69,0.85,-1,24.1,0.011,0
29:26.7,0.33,-0.68,0.86,-1,23.9,0.011,0
29:26.7,0.33,-0.72,0.84,-1,24.1,0.011,0
29:26.7,0.34,-0.7,0.83,-1,24.1,0.013,0
29:26.7,0.33,-0.71,0.83,-1,24.1,0.011,0
29:26.8,0.32,-0.68,0.81,-1,24.1,0.013,0
29:26.8,0.34,-0.69,0.79,-1,24.1,0.011,0
29:26.8,0.34,-0.68,0.81,-1,23.9,0.011,0
29:26.9,0.34,-0.7,0.81,-1,24.1,0.011,0
29:26.9,0.35,-0.7,0.81,-1,24.1,0.011,0
29:26.9,0.34,-0.71,0.82,-1,24.1,0.011,0
29:27.0,0.34,-0.72,0.82,-1,24.1,0.011,0
29:27.0,0.33,-0.71,0.81,-1,24.1,0.011,0
29:27.0,0.34,-0.72,0.77,-1,24.1,0.011,0
29:27.1,0.34,-0.69,0.77,-1,24.1,0.011,0
29:27.1,0.29,-0.73,0.65,-1,24.1,0.013,0
29:27.1,0.34,-0.71,0.78,-1,23.9,0.011,0
29:27.2,0.3,-0.72,0.79,-1,24.1,0.013,0
29:27.2,0.34,-0.69,0.72,-1,24.1,0.011,0
29:27.2,0.36,-0.74,0.73,-1,24.1,0.013,0
29:27.3,0.33,-0.71,0.74,-1,23.9,0.013,0
29:27.3,0.33,-0.76,0.77,-1,24.1,0.013,0
29:27.3,0.34,-0.75,0.79,-1,24.1,0.013,0
29:27.3,0.29,-0.77,0.74,-1,24.1,0.013,0
29:27.4,0.31,-0.75,0.76,-1,24.1,0.013,0
29:27.4,0.33,-0.75,0.75,-1,24.1,0.013,0
29:27.4,0.29,-0.73,0.79,-1,24.1,0.013,0
29:27.5,0.28,-0.8,0.79,-1,24.1,0.013,0
29:27.5,0.35,-0.81,0.79,-1,24.1,0.013,0
29:27.5,0.31,-0.73,0.73,-1,24.1,0.013,0
29:27.6,0.29,-0.68,0.69,-1,23.9,0.013,0
29:27.6,0.36,-0.81,0.67,-1,24.1,0.013,0
29:27.6,0.32,-0.77,0.84,-1,24.1,0.011,0
29:27.7,0.43,-0.76,0.63,-1,24.1,0.011,0
29:27.7,0.45,-0.81,0.65,-1,24.1,0.007,0
29:27.7,0.44,-0.74,0.58,-1,24.1,0.007,0
29:27.7,0.38,-0.74,0.6,-1,24.1,0.007,0
29:27.8,0.4,-0.73,0.56,-1,24.1,0.003,0
29:27.8,0.5,-0.76,0.54,-1,24.1,0.003,0
29:27.8,0.41,-0.73,0.53,-1,24.1,0.003,0
29:27.9,0.55,-0.76,0.45,-1,24.1,0.003,0
29:27.9,0.46,-0.78,0.51,-1,24.1,0.003,0
29:27.9,0.43,-0.74,0.54,-1,24.1,0.003,0
